Start time|End time|Protocol|Source IP|Destination IP|Source Port|Destination Port|Byte size|Packet count|Attack 
1568918187425971|1568918247401005|17|173.91.13.248|4040|200.19.107.255|19|19952|688|True
1568918187196523|1568918247170869|17|173.91.13.248|23516|200.19.107.238|19|19314|666|True
1568918187071906|1568918247050871|17|173.91.13.248|23516|200.19.107.255|19|19169|661|True
1568918147862657|1568918207807511|17|86.2.41.130|64340|200.19.107.238|19|19430|670|True
1568918147861359|1568918207782836|17|86.2.41.130|5642|200.19.107.238|19|19952|688|True
1568918147845011|1568918207783185|17|86.2.41.130|64340|200.19.107.255|19|19372|668|True
1568918147837218|1568918207749696|17|86.2.41.130|5642|200.19.107.255|19|20010|690|True
1568918127455966|1568918187375466|17|173.91.13.248|4040|200.19.107.238|19|20010|690|True
1568918127344030|1568918187341303|17|173.91.13.248|4040|200.19.107.255|19|20068|692|True
1568918127167777|1568918187108848|17|173.91.13.248|23516|200.19.107.238|19|19343|667|True
1568918127046188|1568918186984243|17|173.91.13.248|23516|200.19.107.255|19|19430|670|True
1568918087798171|1568918147768590|17|86.2.41.130|64340|200.19.107.238|19|20097|693|True
1568918087788609|1568918147771534|17|86.2.41.130|5642|200.19.107.238|19|19923|687|True
1568918087773775|1568918147741892|17|86.2.41.130|64340|200.19.107.255|19|20126|694|True
1568918087754906|1568918147733536|17|86.2.41.130|5642|200.19.107.255|19|19952|688|True
1568918067385497|1568918127367516|17|173.91.13.248|4040|200.19.107.238|19|20068|692|True
1568918067273907|1568918127258971|17|173.91.13.248|4040|200.19.107.255|19|20068|692|True
1568918067113079|1568918127077124|17|173.91.13.248|23516|200.19.107.238|19|19430|670|True
1568918066990021|1568918126959055|17|173.91.13.248|23516|200.19.107.255|19|19488|672|True
1568918056919678|1568918056919678|6|61.219.11.153|64761|200.19.107.238|53|40|1|False
1568918027750721|1568918087700502|17|86.2.41.130|5642|200.19.107.238|19|20097|693|True
1568918027744158|1568918087706769|17|86.2.41.130|64340|200.19.107.238|19|19807|683|True
1568918027726941|1568918087671056|17|86.2.41.130|5642|200.19.107.255|19|20126|694|True
1568918027722091|1568918087681455|17|86.2.41.130|64340|200.19.107.255|19|19865|685|True
1568918007328928|1568918067297500|17|173.91.13.248|4040|200.19.107.238|19|19923|687|True
1568918007217248|1568918067185520|17|173.91.13.248|4040|200.19.107.255|19|20184|696|True
1568918007062974|1568918067023499|17|173.91.13.248|23516|200.19.107.238|19|19691|679|True
1568918006948602|1568918066903112|17|173.91.13.248|23516|200.19.107.255|19|19633|677|True
1568917972365536|1568917972365536|6|61.219.11.153|64761|200.19.107.255|53|40|1|False
1568917967704839|1568918027659853|17|86.2.41.130|64340|200.19.107.238|19|19807|683|True
1568917967696817|1568918027662542|17|86.2.41.130|5642|200.19.107.238|19|20213|697|True
1568917967672666|1568918027634429|17|86.2.41.130|64340|200.19.107.255|19|19778|682|True
1568917967665158|1568918027638618|17|86.2.41.130|5642|200.19.107.255|19|20242|698|True
1568917947255169|1568918007240568|17|173.91.13.248|4040|200.19.107.238|19|20271|699|True
1568917947144164|1568918007130285|17|173.91.13.248|4040|200.19.107.255|19|20184|696|True
1568917947047150|1568918006976105|17|173.91.13.248|23516|200.19.107.238|19|19749|681|True
1568917946926695|1568918006859019|17|173.91.13.248|23516|200.19.107.255|19|19749|681|True
1568917924990460|1568917966601059|17|86.2.41.130|59213|200.19.107.255|19|14500|500|True
1568917924926289|1568917966627037|17|86.2.41.130|59213|200.19.107.238|19|14471|499|True
1568917924886082|1568917966576883|17|86.2.41.130|35736|200.19.107.238|19|13514|466|True
1568917924856626|1568917966639106|17|86.2.41.130|35736|200.19.107.255|19|13514|466|True
1568917887252483|1568917947167405|17|173.91.13.248|4040|200.19.107.238|19|20474|706|True
1568917887143945|1568917947055975|17|173.91.13.248|4040|200.19.107.255|19|20358|702|True
1568917887033684|1568917946960111|17|173.91.13.248|23516|200.19.107.238|19|19140|660|True
1568917886913508|1568917946839281|17|173.91.13.248|23516|200.19.107.255|19|19430|670|True
1568917864974548|1568917924903887|17|86.2.41.130|59213|200.19.107.255|19|20155|695|True
1568917864922357|1568917924846801|17|86.2.41.130|59213|200.19.107.238|19|20213|697|True
1568917864871296|1568917924798803|17|86.2.41.130|35736|200.19.107.238|19|20242|698|True
1568917864841432|1568917924774396|17|86.2.41.130|35736|200.19.107.255|19|20068|692|True
1568917827191860|1568917887169319|17|173.91.13.248|4040|200.19.107.238|19|20010|690|True
1568917827074872|1568917887061419|17|173.91.13.248|4040|200.19.107.255|19|20184|696|True
1568917826985463|1568917886942390|17|173.91.13.248|23516|200.19.107.238|19|19459|671|True
1568917826865939|1568917886825873|17|173.91.13.248|23516|200.19.107.255|19|19343|667|True
1568917804915313|1568917864835933|17|86.2.41.130|59213|200.19.107.238|19|20242|698|True
1568917804900955|1568917864895156|17|86.2.41.130|59213|200.19.107.255|19|20300|700|True
1568917804828081|1568917864788790|17|86.2.41.130|35736|200.19.107.238|19|19459|671|True
1568917804801883|1568917864755650|17|86.2.41.130|35736|200.19.107.255|19|19401|669|True
1568917767149258|1568917827103948|17|173.91.13.248|4040|200.19.107.238|19|20155|695|True
1568917767027667|1568917826992005|17|173.91.13.248|4040|200.19.107.255|19|20039|691|True
1568917766984973|1568917826895155|17|173.91.13.248|23516|200.19.107.238|19|19343|667|True
1568917766862933|1568917826779175|17|173.91.13.248|23516|200.19.107.255|19|19343|667|True
1568917744862611|1568917804833088|17|86.2.41.130|59213|200.19.107.238|19|20242|698|True
1568917744834556|1568917804801008|17|86.2.41.130|59213|200.19.107.255|19|20184|696|True
1568917744791294|1568917804736308|17|86.2.41.130|35736|200.19.107.238|19|19836|684|True
1568917744767946|1568917804712349|17|86.2.41.130|35736|200.19.107.255|19|19749|681|True
1568917707047246|1568917766974470|17|173.91.13.248|4040|200.19.107.238|19|20184|696|True
1568917706934911|1568917766894142|17|173.91.13.248|23516|200.19.107.238|19|19372|668|True
1568917706928879|1568917766853328|17|173.91.13.248|4040|200.19.107.255|19|20126|694|True
1568917706832156|1568917766766926|17|173.91.13.248|23516|200.19.107.255|19|19256|664|True
1568917684803940|1568917744779545|17|86.2.41.130|59213|200.19.107.238|19|20271|699|True
1568917684775868|1568917744746648|17|86.2.41.130|59213|200.19.107.255|19|20242|698|True
1568917684775772|1568917744706749|17|86.2.41.130|35736|200.19.107.238|19|20242|698|True
1568917684744373|1568917744680179|17|86.2.41.130|35736|200.19.107.255|19|20242|698|True
1568917647025000|1568917706962108|17|173.91.13.248|4040|200.19.107.238|19|20329|701|True
1568917646927488|1568917706848713|17|173.91.13.248|23516|200.19.107.238|19|19604|676|True
1568917646917826|1568917706845204|17|173.91.13.248|4040|200.19.107.255|19|20358|702|True
1568917646806706|1568917706729929|17|173.91.13.248|23516|200.19.107.255|19|19575|675|True
1568917624747707|1568917684721145|17|86.2.41.130|59213|200.19.107.238|19|20271|699|True
1568917624720042|1568917684687716|17|86.2.41.130|59213|200.19.107.255|19|20242|698|True
1568917624716095|1568917684688737|17|86.2.41.130|35736|200.19.107.238|19|20010|690|True
1568917624684241|1568917684663820|17|86.2.41.130|35736|200.19.107.255|19|20039|691|True
1568917622071513|1568917647402274|17|80.6.26.108|55171|200.19.107.238|19|8381|289|True
1568917621957682|1568917647373975|17|80.6.26.108|55171|200.19.107.255|19|8381|289|True
1568917621197471|1568917647346396|17|80.6.26.108|57979|200.19.107.238|19|8787|303|True
1568917621163675|1568917647322721|17|80.6.26.108|57979|200.19.107.255|19|8758|302|True
1568917587012808|1568917646939727|17|173.91.13.248|4040|200.19.107.238|19|20068|692|True
1568917586896903|1568917646833490|17|173.91.13.248|4040|200.19.107.255|19|20097|693|True
1568917586878541|1568917646839342|17|173.91.13.248|23516|200.19.107.238|19|20097|693|True
1568917586761341|1568917646720889|17|173.91.13.248|23516|200.19.107.255|19|20039|691|True
1568917564670362|1568917624664926|17|86.2.41.130|59213|200.19.107.238|19|19981|689|True
1568917564653061|1568917624622717|17|86.2.41.130|35736|200.19.107.238|19|20851|719|True
1568917564646326|1568917624631573|17|86.2.41.130|59213|200.19.107.255|19|20126|694|True
1568917564618636|1568917624593081|17|86.2.41.130|35736|200.19.107.255|19|20909|721|True
1568917562063960|1568917621983383|17|80.6.26.108|55171|200.19.107.238|19|19662|678|True
